Odorant,Odor
isopropyl butanoate,"pungent, fruit"
furfuryl alcohol,burnt
ethyl methylbutyrate,apple
ethyl 3-methylbutanoate,fruit
2-hexenal,"fat, rancid"
isovaleric acid,"sweat, acid, rancid"
methylfuranthiol,meat
(Z)-3-hexenol,grass
methylbutanone,camphor
heptenone,metal
methylbutyric acid,"cheese, sweat"
hexanol,"resin, flower, green"
heptanol,herb
dimethylthiazole,"rubber, mold"
isoamyl acetate,banana
2-methylbutyl acetate,fruit
2-hexenol,"leaf, green, wine, fruit"
methional,cooked potato
o-picoline,sweat
"allyl isothiocyanate, allyspol","sulfur, pungent, garlic"
(E)-2-hexenol,"green, leaf, walnut"
o-xylene,geranium
heptanone,soap
mercaptopentanone,"sulfur, onion, meat"
styrene,"balsamic, gasoline"
acetylfuran,balsamic
methyl-2-(methylthio)acetate,"cooked potato, roasted nut"
propyl butyrate,"pineapple, solvent"
ethyl valerate,"yeast, fruit"
mercaptopentanone,roasted meat
methyltetrahydrofuranthiol,onion
heptanal,"fat, citrus, rancid"
4-heptenal,"biscuit, cream"
bornyl methyl ether,"earth, must"
dimethyl pyrazine,"cocoa, roasted nut, roast beef, medicine"
dimethyl pyrazine,"roasted nut, cocoa, roast beef"
ethyl pyrazine,"peanut butter, wood"
caproic acid,sweat
"2,4-hexadienal",green
pentanoic acid,sweat
dimethyl pyrazine,"nut, peanut butter, cocoa, meat"
4-methylhexanol,sweat
fufuryl mercaptan,"coffee, roast"
1-cyclohexen-3-one,pesticide
acetylpyrroline,"nut, roast"
nonane,alkane
methoxymethylbutanethiol,"cat, black currant"
ethyl mercaptopropionate,sulfur
dimethylthiazole,"roast, smoke"
dimethyl sulfone,"sulfur, burnt"
hexanethiol,sulfur
heptanol,mushroom
methyl hexanoate,"fruit, fresh, sweet"
methyldihydrofuranthiol,meat
methylthiazoline,garlic
2-ethylpyridine,grass
α-pinene,"pine, turpentine"
mercaptomethylpentanone,black currant
methyl-p-xylene,plastic
ethyl 3-hydroxybutanoate,marshmallow
butyl isothiocyanate,"sulfur, pungent, green"
α-thujene,"wood, green, herb"
2-pentanol,green
2-hepten-1-al,green
heptenal,"soap, fat, almond"
benzaldehyde,"almond, burnt sugar"
heptanol,"chemical, green"
methionol,"sweet, potato"
octanone,"herb, butter, resin"
dimethyl trisulfide,"sulfur, fish, cabbage"
3-mercaptothiophene,cooked meat
ethyl isohexanoate,fruit
dimethylfuranthiol,meat
4-methylthio-2-butanone,fruit
methyldihydrothiophenone,"cabbage, onion, must"
filbertone,"hazelnut, nut"
mercaptomethylbutanol,meat broth
octenone,"mushroom, metal"
(E)-2-penten-1-ol,mushroom
camphene,camphor
octenol,mushroom
5-methylfurfural,"almond, caramel, burnt sugar"
phenol,phenol
methylisohexenyl ketone,"pepper, mushroom, rubber"
octadienone,"geranium, metal"
sabinene,"pepper, turpentine, wood"
"1,5-octadien-3-ol","earth, herb"
"1,5-octadienone","earth, must"
"2,3-dehydro-1,8-cineole","mint, lemon"
pentylfuran,"green bean, butter"
ethylmethyl pyrazine,"fruit, sweet"
trimethylthiazole,earth
2-formylthiophene,sulfur
octanal,"fat, soap, lemon, green"
octanone,"soap, gasoline"
methyldithiolane,sulfur
"2,4-heptadienal",fried
trimethyl-pyrazine,"roast, potato, must"
ethyl hexanoate,"apple peel, fruit"
2-methyl anisole,"warm, flower, walnut"
β-pinene,"pine, resin, turpentine"
2-octanol,"mushroom, fat"
β-carene,orange peel
hexenyl acetate,"green, banana"
(+)-α-phellandrene,dill
myrcene,"balsamic, must, spice"
ethyl lactate,fruit
"2,4-heptadienal","nut, fat"
octanol,"moss, nut, mushroom"
acetylpyridine,popcorn
hexyl acetate,"fruit, herb"
"2,3,4,5-tetrahydroanisole","herb, spice"
5-(methylthio)-valeronitrile,"broccoli, cabbage"
methylfurfurylthiol,"sulfur, roast"
decane,alkane
"1,4-cineole",spice
β-cubebene,"citrus, fruit"
acetylthiazole,"roast, nut, sulfur"
phenylethanal,"hawthorne, honey, sweet"
mercaptomethylbutyl formate,"cat, roast"
acetylpyrazine,roast
propionylpyrroline,roast
α-phellandrene,"turpentine, mint, spice"
Propionylpyrrole,"roast, popcorn"
"(+)-limonene,","citrus, mint"
"1,8-cineole","mint, sweet"
2-ethylhexanol,"rose, green"
δ-3-carene,"lemon, resin"
"2-acetyl-1,4,5,6-tetrahydropyridine",caramel
methylethylpyrazine,sweat
α-terpinene,lemon
benzylmethyl ether,metal
(E)-3-hexenol,"moss, fresh"
limonene,"lemon, orange"
ethyl hydroxybutanoate,caramel
3-octenone,nut
isopropyl hexanoate,fresh
3-octen-2-one,"nut, crushed bug"
furaneol™,caramel
methyl octanoate,orange
acetophenone,"must, flower, almond"
p-cymene,"solvent, gasoline, citrus"
"(Z)-ocimene,","citrus, herb, flower"
isobutyl thiazole,"tomato leaf, green"
4-mercapto-4-methyl-2-pentanone,box tree
butyl methylbutyrate,"fruit, cocoa"
norfuraneol,caramel
2-acetylpyrrole,"nut, walnut, bread"
methylethyl pyrazine,roast
methyl-thiophenethiol,medicine
2-octenal,"green, nut, fat"
5-isopropyl-2-methylpyrazine,sweat
2-octenal,"green leaf, walnut"
dimethylmethoxyfuranone,"caramel, sweet, mildew"
β-phellandrene,"mint, terpentine"
ocimene,herb
dihydrolinalool,"wood, citrus, camphor"
6(10)-dihydromyrcenol,"tart lime, citrus, cologne"
dimethylheptenal,"fruit, green, melon"
α-ocimene,"fruit, wet cloth"
(E)-β-ocimene,"sweet, herb"
2-octenal,green
artemisia ketone,"green, herb"
"2-methoxy-3,6-dimethylpyrazine",earth
"p, a -dimethylstyrol",gasoline
cis-sabinene hydrate,balsamic
guaiacol,"smoke, sweet, medicine"
γ-terpinene,"gasoline, turpentine"
hydroxydimethylcyclopentenone,caramel
p-cresol,"medicine, phenol, smoke"
nonenone,"pungent, mushroom"
ethyldimethylthiazole,earth
"2,5-dimethyl-3-ethylpyrazine","potato, roast"
dihydromyrcenol,"tart lime, citrus, cologne"
sotolon,"cotton candy, spice, maple"
thenylthiol,sulfur
methyl benzoate,"prune, lettuce, herb, sweet"
ethyldimethylpyrazine,potato
ethyldimethylpyrazine,"burnt, popcorn"
artemisia alcohol,herb
m-cresol,"fecal, plastic"
dimethylethyl pyrazine,roast
durene,"rancid, sweet"
maltol,caramel
(Z)-linalool oxide,flower
octanol,"chemical, metal, burnt"
2-pentylthiophene,"sweet, fruit"
acetylthiophene,sulfur
pentyl butanoate,banana
"3,5-octadienone","fruit, fat, mushroom"
3-nonenal,cucumber
nonanal,"fat, citrus, green"
propyl hexanoate,fruit
2-phenylethyl alcohol,"honey, spice, rose, lilac"
3-nonenal,fat
isopropylmethoxypyrazine,"pea, earth"
"3,6-nonadienal","fat, soap"
ethyl heptylate,fruit
2-methyl-2-(methyldithio)propanal,"smoke, fat"
hotrienol,hyacinth
linalool,"flower, lavender"
ethenyl-dimethylpyrazine,earth
"2,4-octadienal","green, seaweed, cucumber"
octenol,"soap, plastic"
acetylthiazoline,"roast, popcorn"
δ-terpinene,"pine, plastic"
(E)-linalool oxide,flower
(+)-cis-rose oxide,"green, flower"
nonanone,"hot milk, soap, green"
trans-sabinene hydrate,"wood, balsamic"
(-)-cis-rose oxide,"sweet, rose"
methyl cinnamate,strawberry
p-menthatriene,turpentine
(methylbutenyl)-methylfuran,mint
undecane,alkane
α-p-dimethylstyrene,"citrus, pine"
formylmethyl thiophene,sulfur
4-ethyl-6-hepten-3-one,fish
"(E)-p-mentha-2,8-dien-1-ol","fresh, mint"
pinenol,"must, dust"
perillen,wood
menthone,"fresh, green"
octenhydroperoxide,"metal, mushroom"
"2-acetyl-3,4,5,6-tetrahydropyridine",caramel
(E)-rose oxide,flower
γ-heptalactone,"nut, fat, fruit"
nerol oxide,"oil, flower"
limonene oxide,fruit
ethyl cyclohexanoate,fruit
methyl cyclohexanecarboxylate,"fruit, ester"
4-mercapto-4-methyl-2-pentanol,"flower, lemon"
benzyl alcohol,"sweet, flower"
(Z)-limonene oxide,"fresh, citrus"
3-terpinen-1-ol,must
2-nonenal,"orris, fat, cucumber"
(E)-limonene oxide,"fresh, citrus"
(+)-(E)-limonene oxide,green
camphor,camphor
fenchyl alcohol,camphor
ethyl-4-hydroxymethyl- 3(2H)-Furanone,caramel
pentyl methylbutyrate,apple
α-fenchyl alcohol,camphor
α-fenchyl alcohol,camphor
menthone,mint
β-terpineol,must
methylcyclopentapyrazine,roast
p-2-menthen-1-ol,herb
(E)-2-nonenal,"cucumber, fat, green"
3-(acetylthio)-2-methylfuran,roasted meat
octyl acetate,fruit
sesquiphellandrene,"sweet, fruit, herb"
citronellal,fat
2-nonenal,paper
nonanol,"fat, green"
"2,6-nonadienal","cucumber, wax, green"
acetylmethylcyclohexene,spice
homofuraneol,caramel
diethylmethylpyrazine,baked
4-pentenyl isothiocyanate,"mustard, horseradish"
benzyl acetate,"fresh, boiled vegetable"
diethylmethyl pyrazine,"potato, meat, roast"
methyldithiofurane,"thiamin, meat"
methyl-(methyldithio)furan,"cooked meat, thiamin"
diethyl succinate,"wine, fruit"
"2,6-nonadienol",cucumber
nonadienol,cucumber
cis-isocitral,green
camphene hydrate,camphor
pinocarveol,flower
ethylphenol,must
l-menthol,peppermint
ethylbenzaldehyde,sweet
isoborneol,"must, camphor"
butylmethoxypyrazine,"carrot, earth"
phenylethylthiol,rubber
(epoxymethylbutyl)-methylfuran,"green, earth, citrus"
(Z)-3-hexenyl butanoate,"wine, green"
ethenyl-ethylmethylpyrazine,earth
S-(2-furfuryl)-ethanethioate,roast
epoxy-2-octenal,metal
methylisoborneol,"earth, must"
dimethyloctadienal,green
hexyl butanoate,apple peel
ethyl benzoate,"camomile, flower, celery, fruit"
lavandulol,herb
dill ether,dill
2-nonanol,cucumber
(Z)-3-hexenyl-2-methylbutanoate,"herb, sweet"
4-acetyltoluene,bitter almond
pentylpyridine,fat
isobutylmethoxypyrazine,"earth, spice, green pepper"
butyl hexanoate,fruit
o-cresol,phenol
abhexone,spice
nitro-phenylethane,"flower, spice"
dihydrocarveol,"mint, spice"
(Z)-dihydrocarvone,"herb, warm"
"(E,Z)-2,4-nonadienal","geranium, pungent"
carveol,"fresh, spearmint, caraway"
borneol,camphor
ethyl octanoate,"fruit, fat"
1-terpinen-4-ol,"turpentine, nutmeg, must"
neoisomenthol,menthol
(Z)-4-decenal,"green, must"
"2,4-nonadienal",watermelon
estragole,"licorice, anise"
ethyl octenoate,"must, oil, fruit, pungent"
(E)-dihydrocarvone,"warm, herb"
6-decenal,"tallow, green"
decanal,"soap, orange peel, tallow"
6-decenal,cucumber
dimethyl tetrasulfide,"cabbage, sulfur"
linalool oxide,"flower, wood"
isodihydrocarveol,"wood, spice"
naphthalene,tar
isobutyric acid,"rancid, butter, cheese"
dodecane,alkane
"2,4-nonadienal","fat, wax, green"
p-cymenol,"citrus, must"
(E)-carveol,"caraway, solvent"
(Z)-piperitol,herb
linalyl formate,"citrus, coriander"
methyl nonanoate,coconut
(-)-carvone,mint
diethyl malonate,apple
syntexan,garlic
furfurylmethyldisulphide,smoke
(Z)-carveol,caraway
myrtenal,spice
piperitol,herb
methyl salicylate,peppermint
epoxy-p-menthene,"mint, dill"
γ-octalactone,coconut
hexyl methylbutyrate,strawberry
benzothiazole,"gasoline, rubber"
phenyl cyanide,rancid
3-mercaptohexyl-acetate,box tree
piperitone,"mint, fresh"
isobornyl formate,"green, earth, camphor"
citronellol,rose
dihydromethylcyclopentapyrazine,"roast, nut"
neral,lemon
chavicol,"medicine, phenol"
β-cyclocitral,mint
2-decenal,tallow
2-decenal,orange
β-phenethyl acetate,"rose, honey, tobacco"
2-decenal,tallow
nerol,sweet
(R)-linden ether,mint
ethyl phenylacetate,"fruit, sweet"
hydrocinnamic alcohol,"cinnamon, anise, fruit"
methylnonanedione,"straw, fruit"
DL-carvone,"mint, basil, fennel"
phenylacetic acid,"honey, flower"
citral,lemon
isogeraniol,rose
(+)-carvone,caraway
bornyl formate,green
p-anisyl alcohol,flower
sulfurol,sulfur
cumin aldehyde,"acid, sharp"
linalyl acetate,"sweet, fruit"
perilla aldehyde,spice
p-anisaldehyde,"mint, sweet"
decanol,fat
o-aminoacetophenone,"foxy, sweet"
isopulegyl acetate,"mint, leaf"
geranial,"lemon, mint"
geraniol,"rose, geranium"
nonanoic acid,"green, fat"
benzoic acid,urine
epoxy-2-nonenal,metal
octanoic acid,"sweat, cheese"
safrole,"spice, sweet, warm"
p-menthenethiol,grapefruit
(E)-cinnamaldehyde,"cinnamon, paint"
"2,4-decadienal",seaweed
4-ethylguaiacol,"spice, clove"
5-octanolide,peach
methyl quinoxaline,"roast, nut, fruit"
indole,"mothball, burnt"
"1,3-p-menthadien-7-al","fat, spice"
undecanone,"orange, fresh, green"
decadienal,"fried, fat"
dihydroterpinyl acetate,"pine, citrus"
γ-butyrolactone,"caramel, sweet"
(Z)-β-Farnesene,"citrus, green"
safranal,"herb, sweet"
methyl geranate,"flower, green, fruit"
nonyl acetate,"sweet, fruit"
decadienal,"fried, wax, fat"
undecanaldehyde,"oil, pungent, sweet"
α-terpineol,"oil, anise, mint"
ethyl undecanoate,"cognac, coconut"
isopentyldimethylpyrazine,fruit
cinnamyl alcohol,oil
tridecane,alkane
perillaldehyde,fat
(E)-oak lactone,"coconut, flower"
hydrocinnamic acid,balsamic
4-hexanolide,"coumarin, sweet"
p-vinylguaiacol,"clove, curry"
methyl decanoate,wine
p-mentha-dien-hydroperoxide,turpentine
ethylhydroxyhexanoate,fresh
dimethoxytoluene,hummus
oxodecanal,fat
4-methylthiazole,roasted meat
benzyl butanoate,plum
dihydrocarvyl acetate,"mint, camphor, medicine"
δ-muurolene,oil
methyl anthranilate,"honey, flower"
p-methoxystyrene,sweet
p-menthadienhydroperoxide,turpentine
heptyl 2-methylbutyrate,apple
acetyloxy-dimethylfuranone,caramel
cuminic alcohol,"wood, herb"
δ-elemene,wood
ethylfuranone,spice
butyl benzoate,balsamic
α-cubebene,"herb, wax"
2-undecenal,sweet
ethyl dihydrocinnamate,flower
citronellyl acetate,"rose, dust"
terpinyl acetate,wax
(E)-2-undecenal,"soap, fat, green"
neryl acetate,fruit
vanillin,vanilla
p-menthadienhydroperoxide,turpentine
γ-nonalactone,"coconut, peach"
α-copaene,"wood, spice"
undecanol,mandarin
acetylpyrrolizine,medicine
decanoic acid,"rancid, fat"
β-damascenone,"apple. rose, honey"
epoxy-2-decenal,"metal, green"
(Z)-3-hexenyl hexanoate,"fruit, prune"
p-menthadienhydroperoxide,turpentine
geranyl acetate,rose
"(E,Z)-3,6-nonadien-1-ol",fish
hexyl hexanoate,"apple peel, peach"
skatole,"mothball, fecal"
butyl octanoate,fruit
styrene glycol,sweet
dehydro-ar-ionene,licorice
β-elemene,"herb, wax, fresh"
isobornyl propionate,"fruit, turpentine"
ethylfuranone,spice
eugenol,"clove, honey"
methylene bis(methyl sulfide),"garlic, sulfur"
ethyl decanoate,grape
cis-linalool pyran oxide,"citrus, green"
methyl eugenol,"clove, spice"
lauric aldehyde,"lily, fat, citrus"
decyl alcohol,"orange, oil"
carvyl acetate,"green, spearmint"
α-gurjunene,"wood, balsamic"
geosmin,"beet, earth"
(E)-β-damascone,apple
tetradecane,alkane
β-bourbonene,herb
(-)-γ-elemene,"green, wood, oil"
α-ionone,"wood, violet"
(E)-α-bergamotene,"wood, warm, tea"
β-selinene,herb
ethyl salicylate,"wintergreen, mint"
linalyl butyrate,"pear, sweet"
isocaryophyllene,wood
coumarin,"green, sweet"
γ-decalactone,"peach, fat"
erucin,cabbage
geranyl acetone,"magnolia, green"
α-guaiene,"wood, balsamic"
β-caryophyllene,"wood, spice"
γ-selinene,wood
wine lactone,"coconut, spice"
δ-decalactone,coconut
isogeraniol,rose
2-dodecenal,"green, fat, sweet"
butyl decanoate,whiskey
cinnamic acid,honey
β-farnesene,"wood, citrus, sweet"
ethyl cinnamate,"honey, cinnamon"
δ-decalactone,peach
aromadendrene,wood
R-δ-decenolactone,peach
linalyl isovalerate,"sweet, apple, citrus"
asaricin,"spice, pepper"
"ethyl-(E,Z)-2,4-decadienoate",pear
elemicin,"spice, flower"
β-guaiene,"wood, spice"
β-ionone,"seaweed, violet, flower, raspberry"
epoxy-2-undecenal,metal
citronellyl isobutyrate,"fruit, rose"
 p-coumaric acid,balsamic
p-menth-1-en-9-yl acetate,"fruit, herb"
p-menth-1-en-9-ol,"fruit, herb"
α-humulene,wood
valencene,"green, oil"
bornyl butyrate,"herb, wood"
undecylic acid,oil
isopiperitone,"sweet, fruit"
ethyl laurate,leaf
α-zingiberene,"spice, fresh, sharp"
alloaromadendrene,wood
γ-muurolene,"herb, wood, spice"
tridecanal,"flower, sweet, must"
methyl laurate,"fat, coconut"
bis(2-methyl-3-furyl)disulphide,roasted meat
raspberry ketone,raspberry
pentadecane,alkane
germacrene D,"wood, spice"
bicyclogermacrene,"green, wood"
linalyl valerate,"citrus, lavender"
α-muurolene,wood
berteroin,cabbage
3-mercaptohexanol,sulfur
citronellyl butyrate,"fruit, sweet, rose"
bornyl isovalerate,"herb, earth, green"
(-)-β-bisabolene,balsamic
myristicin,"spice, warm, balsamic"
α-farnesene,"wood, sweet"
cadinadiene,"spice, fruit"
(Z)-oak-lactone,spice
γ-cadinene,wood
elemol,"green, wood"
δ-cadinene,"thyme, medicine, wood"
geranyl butyrate,"fruit, rose, apple"
α-curcumene,herb
caryophyllene alcohol,"moss, earth, spice"
β-sesquiphellandrene,wood
germacrene B,"wood, earth, spice"
(Z)-nerolidol,wax
hexyl octanoate,"herb, green, oil"
calamenene,"herb, spice"
isopropyl benzoate,"sweet, fruit"
12-methyltridecanal,"cooked meat, tallow, fat, meat broth, sweat"
lauryl alcohol,"fat, wax"
nerolidol,"wood, flower, wax"
guaiol,"wood, balsamic"
dehydrocarveol,"oil, herb"
tridecanol,must
(E)-isoelemicin,"spice, flower"
dill apiol,"wood, spice"
cedrenol,fruit
δ-undecalactone,peach
geranyl isovalerate,"fruit, rose, apple"
epoxy-β-ionone,"fruit, sweet, wood"
tetradecyl aldehyde,"flower, wax"
(E)-2-hexenoic acid,"must, fat"
hexadecane,alkane
caryophyllene oxide,"herb, sweet, spice"
spathulenol,"herb, fruit"
levomenol,herb
citronellyl valerate,"warm, honey, herb, rose"
methyl jasmonate,jasmine
(E)-Whiskey lactone,"flower, lactone"
(Z)-whiskey lactone,coconut
β-caryophyllene alcohol,"earth, moss"
humulene oxide,herb
(-)-cubenol,"spice, herb, green tea"
geranyl valerate,"rose, fruit"
methyl tetradecanoate,orris
bulnesol,spice
β-eudesmol,"wood, green"
(Z)-6-dodecen-γ-lactone,soap
methyl epijasmonate,jasmine
"cadina-1,4-dien-3-ol","wood, spice"
(Z)-6-dodecene-γ-lactone,"peach, sweet"
α-bisabolol,"spice, flower"
oxo-β-ionone,wood
methyl dihydroepijasmonate,jasmine
β-bisabolol,"sweet, herb"
butyl laurate,oil
δ-cadinol,herb
T-muurolol,"herb, weak spice"
7-methoxycoumarin,"balsamic, sweet"
pantolactone,cotton candy
γ-dodecalactone,"sweet, fruit, flower"
zingiberenol,metal
"2,6-dimethylnaphthalene",grass
α-cadinol,"herb, wood"
(E)-2-dodecen-1-ol,oil
7-heptadecene,alkane
ethyl tetradecanoate,ether
β-farnesol,"flower, oil"
α-caryophyllene alcohol,earth
methyl cinnamate,strawberry
diethyl malate,"brown sugar, sweet"
β-sinensal,sweet
pentadecanal,fresh
heptadecane,alkane
δ-dodecalactone,"fruit, sweet"
(E)-farnesol,muguet
ethyl-(E)-cinnamate,"flower, honey"
viridiflorol,"green, sweet"
trimethylphenylbutenone,"flower, green"
benzyl benzoate,"balsamic, oil, herb"
methyl furaneol,"cotton candy, sweet"
bornyl benzoate,"pine, balsamic"
perhydrofarnesylacetone,fat
10-epi-γ-eudesmol,"sweet, wood, flower"
(+)-nootkatone,grapefruit
hexadecanone,fruit
4-propyl-guaiacol,phenol
palmitaldehyde,cardboard
(-)-nootkatone,terpentine
octadecane,alkane
Diethyl 2-hydroxyglutarate,cotton candy
uncineol,"wax, sweet"
phenylethyl benzoate,"flower, honey"
p-hydroethylbenzene,"phenol, spice"
α-calacorene,wood
hexadecanol,"flower, wax"
cetyl alcohol,"wax, flower"
4-Carbethoxybutyrolactone,"roast, smoke"
eudesmol,"sweet, wood"
ethyl hexadecanoate,wax
isoeugenol,flower
nonadecane,alkane
γ-undecalactone,apricot
"(E,E)-farnesyl acetate","oil, wax"
trimethylphenylbutenone,"flower, green"
syringol,"medicine, phenol, smoke"
isopropyl palmitate,fat
diethyl tartrate,"earth, must"
"(E,E)-farnesylacetone","flower, ether"
eicosane,alkane
(E)-isoeugenol,flower
octadecanaldehyde,oil
4-vinylphenol,almond shell
oleic acid,fat
methyl octadecenoate,fat
hydroxycalamenene,herb
tetradecanol,coconut
heneicosane,alkane
phytol,flower
5-oxymethylfurfurole,cardboard
lauric acid,metal
docosane,alkane
6-Methoxyeugenol,"sweet, flower"
stearyl alcohol,oil
methyl vanillate,"caramel, butterscotch, vanilla"
ethyl vanillate,"flower, fruit, sweet, vanilla"
acetovanillone,vanilla
3-oxo-α-ionol,spice
tricosane,alkane
